Week,Fertilizer added (cubic feet),Fertilizer Measured,"Mulch added 
(inches)",Mulch Measured,Rain,"Watering
(gallons)",Nutrition Lvl,Moisture,Temp,Weekly_Yield,Orchard,Location,Cost of Labor,Total Trees,Total Watered,Trees Planted,Total_Yield,"Material_Cost_Mulch 
(5*Total Trees*
mulch per tree)","Application_Cost_Mulch
(0.5 * Cost of Labor *total trees
 *Mulch Applied Boolean value)","Material_Cost_Fertilizer
(5*Total Trees*
Fertilizer per tree)","Application_Cost_Fert(1/8 hrs)
(0.125 * Cost of Labor *total trees
 *Fertilizer Applied Boolean value)","Cost_Water 
(0.10*Total Trees*
Gallons per tree)","Total_Yield_Revenue
($0.25 *total Yield)","Total Cost 
(Material Cost +Application Cost)","Total Profit in $
(Total Revenue- 
Total Cost)"
34,,0.46,,0.00,0.00,,70,86,90,76,PowerHouse Plantation,Sacramento,10,150,510,0,11400,0,0,0,0,0,2850,0,2850
35,,0.38,,0.00,0.02,30,69,82,90,83,PowerHouse Plantation,Sacramento,10,150,540,0,12450,0,0,0,0,450,3112.5,450,2662.5
36,,0.31,,0.00,0.04,,68,85,89,83,PowerHouse Plantation,Sacramento,10,150,540,0,12450,0,0,0,0,0,3112.5,0,3112.5
37,,0.23,,0.00,0.07,30,66,80,89,68,PowerHouse Plantation,Sacramento,10,150,570,0,10200,0,0,0,0,450,2550,450,2100
38,,0.15,,0.00,0.10,,67,84,88,70,PowerHouse Plantation,Sacramento,10,150,570,0,10500,0,0,0,0,0,2625,0,2625
39,1,1.08,,0.00,0.13,30,67,79,87,76,PowerHouse Plantation,Sacramento,10,218,600,68,16568,0,0,1090,272.5,654,4142,2016.5,2125.5
40,,1.00,,0.00,0.17,,66,82,86,82,PowerHouse Plantation,Sacramento,10,218,600,0,17876,0,0,0,0,0,4469,0,4469
41,,0.92,,0.00,0.22,30,65,78,84,84,PowerHouse Plantation,Sacramento,10,218,630,0,18312,0,0,0,0,654,4578,654,3924
42,,0.85,,0.00,0.26,,63,81,83,81,PowerHouse Plantation,Sacramento,10,218,630,0,17658,0,0,0,0,0,4414.5,0,4414.5
43,,0.77,,0.00,0.32,30,62,77,81,75,PowerHouse Plantation,Sacramento,10,218,660,0,16350,0,0,0,0,654,4087.5,654,3433.5
44,,0.69,,0.00,0.37,,62,81,78,73,PowerHouse Plantation,Sacramento,10,218,660,0,15914,0,0,0,0,0,3978.5,0,3978.5
45,,0.62,,0.00,0.43,30,62,77,76,80,PowerHouse Plantation,Sacramento,10,218,690,0,17440,0,0,0,0,654,4360,654,3706
46,,0.54,,0.00,0.50,,61,80,73,70,PowerHouse Plantation,Sacramento,10,218,690,0,15260,0,0,0,0,0,3815,0,3815
47,,0.46,,0.00,0.56,30,61,77,70,78,PowerHouse Plantation,Sacramento,10,230,720,12,17940,0,0,0,0,690,4485,690,3795
48,,0.38,,0.00,0.63,,60,81,67,70,PowerHouse Plantation,Sacramento,10,230,720,0,16100,0,0,0,0,0,4025,0,4025
49,,0.31,,0.00,0.70,30,60,77,63,62,PowerHouse Plantation,Sacramento,10,230,750,0,14260,0,0,0,0,690,3565,690,2875
50,,0.23,,0.00,0.78,,61,82,59,58,PowerHouse Plantation,Sacramento,10,230,750,0,13340,0,0,0,0,0,3335,0,3335
51,,0.15,,0.00,0.85,30,62,79,55,53,PowerHouse Plantation,Sacramento,10,230,780,0,12190,0,0,0,0,690,3047.5,690,2357.5
52,,0.08,,0.00,0.93,,63,83,51,43,PowerHouse Plantation,Sacramento,10,230,780,0,9890,0,0,0,0,0,2472.5,0,2472.5
1,1,1,,0.00,1.07,30,75,75,59,55,Gargantian Grove,SF,20,30,30,30,1650,0,0,150,75,90,412.5,315,97.5
2,,0.92,,0.00,1.09,,77,80,50,44,Gargantian Grove,SF,20,50,30,20,2200,0,0,0,0,0,550,0,550
3,,0.85,,0.00,1.09,30,79,77,52,44,Gargantian Grove,SF,20,60,60,10,2640,0,0,0,0,180,660,180,480
4,,0.77,,0.00,1.09,,82,82,53,48,Gargantian Grove,SF,20,90,60,30,4320,0,0,0,0,0,1080,0,1080
5,,0.69,,0.00,1.07,30,84,79,54,53,Gargantian Grove,SF,20,110,90,20,5830,0,0,0,0,330,1457.5,330,1127.5
6,,0.62,,0.00,1.04,,86,84,55,57,Gargantian Grove,SF,20,140,90,30,7980,0,0,0,0,0,1995,0,1995
7,,0.54,,0.00,1.01,30,87,81,57,64,Gargantian Grove,SF,20,140,120,0,8960,0,0,0,0,420,2240,420,1820
8,,0.46,,0.00,0.97,,88,86,58,63,Gargantian Grove,SF,20,140,120,0,8820,0,0,0,0,0,2205,0,2205
9,,0.38,,0.00,0.93,30,88,83,60,70,Gargantian Grove,SF,20,140,150,0,9800,0,0,0,0,420,2450,420,2030
10,,0.31,,0.00,0.88,,88,88,61,67,Gargantian Grove,SF,20,140,150,0,9380,0,0,0,0,0,2345,0,2345
11,,0.23,,0.00,0.83,30,89,85,63,70,Gargantian Grove,SF,20,140,180,0,9800,0,0,0,0,420,2450,420,2030
12,,0.15,,0.00,0.77,,89,89,65,76,Gargantian Grove,SF,20,140,180,0,10640,0,0,0,0,0,2660,0,2660
13,,0.08,,0.00,0.71,30,88,86,66,78,Gargantian Grove,SF,20,140,210,0,10920,0,0,0,0,420,2730,420,2310
14,1,1.00,,0.00,0.65,,87,90,68,73,Gargantian Grove,SF,20,140,210,0,10220,0,0,700,350,0,2555,1050,1505
15,,0.92,,0.00,0.59,30,87,86,70,78,Gargantian Grove,SF,20,140,240,0,10920,0,0,0,0,420,2730,420,2310
16,,0.85,,0.00,0.53,,86,90,71,76,Gargantian Grove,SF,20,140,240,0,10640,0,0,0,0,0,2660,0,2660
17,,0.77,,0.00,0.47,30,85,87,73,83,Gargantian Grove,SF,20,140,270,0,11620,0,0,0,0,420,2905,420,2485
18,,0.69,,0.00,0.41,,84,91,75,83,Gargantian Grove,SF,20,143,270,3,11869,0,0,0,0,0,2967.25,0,2967.25
19,,0.62,,0.00,0.35,30,83,87,76,91,Gargantian Grove,SF,20,143,300,0,13013,0,0,0,0,429,3253.25,429,2824.25
20,,0.54,,0.00,0.29,,81,91,78,85,Gargantian Grove,SF,20,143,300,0,12155,0,0,0,0,0,3038.75,0,3038.75
21,,0.46,,0.00,0.24,30,79,87,79,89,Gargantian Grove,SF,20,143,330,0,12727,0,0,0,0,429,3181.75,429,2752.75
22,,0.38,,0.00,0.19,,77,90,81,82,Gargantian Grove,SF,20,143,330,0,11726,0,0,0,0,0,2931.5,0,2931.5
23,,0.31,,0.00,0.14,30,76,86,82,84,Gargantian Grove,SF,20,143,360,0,12012,0,0,0,0,429,3003,429,2574
24,,0.23,,0.00,0.10,,75,90,83,86,Gargantian Grove,SF,20,143,360,0,12298,0,0,0,0,0,3074.5,0,3074.5
25,,0.15,,0.00,0.06,30,73,85,85,80,Gargantian Grove,SF,20,143,390,0,11440,0,0,0,0,429,2860,429,2431
26,,0.08,,0.00,0.03,,72,89,86,72,Gargantian Grove,SF,20,143,390,0,10296,0,0,0,0,0,2574,0,2574
27,1,1.00,,0.00,0.00,30,72,84,87,81,Gargantian Grove,SF,20,143,420,0,11583,0,0,715,357.5,429,2895.75,1501.5,1394.25
28,,0.92,,0.00,-0.02,,71,88,88,77,Gargantian Grove,SF,20,143,420,0,11011,0,0,0,0,0,2752.75,0,2752.75
29,,0.85,,0.00,-0.04,30,70,83,88,74,Gargantian Grove,SF,20,143,450,0,10582,0,0,0,0,429,2645.5,429,2216.5
30,,0.77,,0.00,-0.05,,70,86,89,68,Gargantian Grove,SF,20,143,450,0,9724,0,0,0,0,0,2431,0,2431
31,,0.69,,0.00,-0.06,30,70,82,89,75,Gargantian Grove,SF,20,143,480,0,10725,0,0,0,0,429,2681.25,429,2252.25
32,,0.62,,0.00,-0.06,,69,85,90,74,Gargantian Grove,SF,20,153,480,10,11322,0,0,0,0,0,2830.5,0,2830.5
33,,0.54,,0.00,-0.05,30,69,80,90,80,Gargantian Grove,SF,20,199,510,46,15920,0,0,0,0,597,3980,597,3383
34,,0.46,,0.00,-0.04,,68,83,90,70,Gargantian Grove,SF,20,199,510,0,13930,0,0,0,0,0,3482.5,0,3482.5
35,,0.38,,0.00,-0.02,30,68,79,90,83,Gargantian Grove,SF,20,199,540,0,16517,0,0,0,0,597,4129.25,597,3532.25
36,,0.31,,0.00,0.00,,67,82,89,78,Gargantian Grove,SF,20,199,540,0,15522,0,0,0,0,0,3880.5,0,3880.5
37,,0.23,,0.00,0.03,30,66,78,89,80,Gargantian Grove,SF,20,199,570,0,15920,0,0,0,0,597,3980,597,3383
38,,0.15,,0.00,0.07,,65,81,88,78,Gargantian Grove,SF,20,199,570,0,15522,0,0,0,0,0,3880.5,0,3880.5
39,1,1.08,,0.00,0.11,30,64,76,87,77,Gargantian Grove,SF,20,199,600,0,15323,0,0,995,497.5,597,3830.75,2089.5,1741.25
40,,1.00,,0.00,0.16,,63,79,86,73,Gargantian Grove,SF,20,199,600,0,14527,0,0,0,0,0,3631.75,0,3631.75
41,,0.92,,0.00,0.22,30,63,75,84,82,Gargantian Grove,SF,20,199,630,0,16318,0,0,0,0,597,4079.5,597,3482.5
42,,0.85,,0.00,0.28,,62,78,83,78,Gargantian Grove,SF,20,199,630,0,15522,0,0,0,0,0,3880.5,0,3880.5
43,,0.77,,0.00,0.34,30,61,74,81,85,Gargantian Grove,SF,20,199,660,0,16915,0,0,0,0,597,4228.75,597,3631.75
44,,0.69,,0.00,0.42,,60,78,78,71,Gargantian Grove,SF,20,199,660,0,14129,0,0,0,0,0,3532.25,0,3532.25
45,,0.62,,0.00,0.49,30,60,74,76,73,Gargantian Grove,SF,20,199,690,0,14527,0,0,0,0,597,3631.75,597,3034.75
46,,0.54,,0.00,0.57,,59,77,73,75,Gargantian Grove,SF,20,199,690,0,14925,0,0,0,0,0,3731.25,0,3731.25
47,,0.46,,0.00,0.66,30,59,74,70,70,Gargantian Grove,SF,20,199,720,0,13930,0,0,0,0,597,3482.5,597,2885.5
48,,0.38,,0.00,0.75,,59,78,67,68,Gargantian Grove,SF,20,199,720,0,13532,0,0,0,0,0,3383,0,3383
49,,0.31,,0.00,0.84,30,59,74,63,58,Gargantian Grove,SF,20,199,750,0,11542,0,0,0,0,597,2885.5,597,2288.5
50,,0.23,,0.00,0.93,,60,79,59,60,Gargantian Grove,SF,20,199,750,0,11940,0,0,0,0,0,2985,0,2985
51,,0.15,,0.00,1.03,30,61,76,55,47,Gargantian Grove,SF,20,199,780,0,9353,0,0,0,0,597,2338.25,597,1741.25
52,,0.08,,0.00,1.13,,63,81,51,33,Gargantian Grove,SF,20,199,780,0,6567,0,0,0,0,0,1641.75,0,1641.75
1,1,1,,0.00,0.01,30,75,75,60,60,Berry Bonds,LA,16,20,30,20,1200,0,0,100,40,60,300,200,100
2,,0.92,,0.00,-0.01,,76,79,50,47,Berry Bonds,LA,16,60,30,40,2820,0,0,0,0,0,705,0,705
3,,0.85,,0.00,-0.02,30,78,77,52,49,Berry Bonds,LA,16,80,60,20,3920,0,0,0,0,240,980,240,740
4,,0.77,,0.00,-0.03,,80,82,53,51,Berry Bonds,LA,16,120,60,40,6120,0,0,0,0,0,1530,0,1530
5,,0.69,,0.00,-0.02,30,82,79,54,55,Berry Bonds,LA,16,150,90,30,8250,0,0,0,0,450,2062.5,450,1612.5
6,,0.62,,0.00,-0.01,,84,84,55,57,Berry Bonds,LA,16,150,90,0,8550,0,0,0,0,0,2137.5,0,2137.5
7,,0.54,,0.00,0.00,30,85,81,57,58,Berry Bonds,LA,16,160,120,10,9280,0,0,0,0,480,2320,480,1840
8,,0.46,,0.00,0.02,,86,86,58,60,Berry Bonds,LA,16,170,120,10,10200,0,0,0,0,0,2550,0,2550
9,,0.38,,0.00,0.04,30,87,83,60,71,Berry Bonds,LA,16,170,150,0,12070,0,0,0,0,510,3017.5,510,2507.5
10,,0.31,,0.00,0.06,,87,88,61,69,Berry Bonds,LA,16,170,150,0,11730,0,0,0,0,0,2932.5,0,2932.5
11,,0.23,,0.00,0.09,30,87,84,63,76,Berry Bonds,LA,16,170,180,0,12920,0,0,0,0,510,3230,510,2720
12,,0.15,,0.00,0.11,,87,89,65,72,Berry Bonds,LA,16,170,180,0,12240,0,0,0,0,0,3060,0,3060
13,,0.08,,0.00,0.14,30,87,86,66,83,Berry Bonds,LA,16,170,210,0,14110,0,0,0,0,510,3527.5,510,3017.5
14,1,1.00,,0.00,0.16,,85,90,68,79,Berry Bonds,LA,16,170,210,0,13430,0,0,850,340,0,3357.5,1190,2167.5
15,,0.92,,0.00,0.18,30,84,86,70,77,Berry Bonds,LA,16,170,240,0,13090,0,0,0,0,510,3272.5,510,2762.5
16,,0.85,,0.00,0.21,,84,90,71,86,Berry Bonds,LA,16,170,240,0,14620,0,0,0,0,0,3655,0,3655
17,,0.77,,0.00,0.23,30,82,87,73,82,Berry Bonds,LA,16,170,270,0,13940,0,0,0,0,510,3485,510,2975
18,,0.69,,0.00,0.25,,81,91,75,74,Berry Bonds,LA,16,170,270,0,12580,0,0,0,0,0,3145,0,3145
19,,0.62,,0.00,0.26,30,80,87,76,87,Berry Bonds,LA,16,170,300,0,14790,0,0,0,0,510,3697.5,510,3187.5
20,,0.54,,0.00,0.27,,79,91,78,81,Berry Bonds,LA,16,170,300,0,13770,0,0,0,0,0,3442.5,0,3442.5
21,,0.46,,0.00,0.28,30,78,87,79,85,Berry Bonds,LA,16,170,330,0,14450,0,0,0,0,510,3612.5,510,3102.5
22,,0.38,,0.00,0.29,,76,90,81,86,Berry Bonds,LA,16,170,330,0,14620,0,0,0,0,0,3655,0,3655
23,,0.31,,0.00,0.29,30,75,86,82,78,Berry Bonds,LA,16,170,360,0,13260,0,0,0,0,510,3315,510,2805
24,,0.23,,0.00,0.29,,74,90,83,83,Berry Bonds,LA,16,186,360,16,15438,0,0,0,0,0,3859.5,0,3859.5
25,,0.15,,0.00,0.29,30,72,85,85,86,Berry Bonds,LA,16,186,390,0,15996,0,0,0,0,558,3999,558,3441
26,,0.08,,0.00,0.28,,71,89,86,76,Berry Bonds,LA,16,186,390,0,14136,0,0,0,0,0,3534,0,3534
27,1,1.00,,0.00,0.27,30,70,84,87,83,Berry Bonds,LA,16,186,420,0,15438,0,0,930,372,558,3859.5,1860,1999.5
28,,0.92,,0.00,0.26,,69,88,88,75,Berry Bonds,LA,16,186,420,0,13950,0,0,0,0,0,3487.5,0,3487.5
29,,0.85,,0.00,0.25,30,68,83,88,76,Berry Bonds,LA,16,186,450,0,14136,0,0,0,0,558,3534,558,2976
30,,0.77,,0.00,0.23,,68,86,89,78,Berry Bonds,LA,16,186,450,0,14508,0,0,0,0,0,3627,0,3627
31,,0.69,,0.00,0.21,30,67,82,89,72,Berry Bonds,LA,16,186,480,0,13392,0,0,0,0,558,3348,558,2790
32,,0.62,,0.00,0.19,,67,85,90,77,Berry Bonds,LA,16,186,480,0,14322,0,0,0,0,0,3580.5,0,3580.5
33,,0.54,,0.00,0.17,30,66,80,90,74,Berry Bonds,LA,16,186,510,0,13764,0,0,0,0,558,3441,558,2883
34,,0.46,,0.00,0.15,,66,83,90,75,Berry Bonds,LA,16,186,510,0,13950,0,0,0,0,0,3487.5,0,3487.5
35,,0.38,,0.00,0.12,30,65,79,90,79,Berry Bonds,LA,16,186,540,0,14694,0,0,0,0,558,3673.5,558,3115.5
36,,0.31,,0.00,0.10,,64,82,89,70,Berry Bonds,LA,16,186,540,0,13020,0,0,0,0,0,3255,0,3255
37,,0.23,,0.00,0.08,30,64,77,89,72,Berry Bonds,LA,16,186,570,0,13392,0,0,0,0,558,3348,558,2790
38,,0.15,,0.00,0.07,,64,81,88,80,Berry Bonds,LA,16,186,570,0,14880,0,0,0,0,0,3720,0,3720
39,1,1.08,,0.00,0.05,30,63,76,87,76,Berry Bonds,LA,16,186,600,0,14136,0,0,930,372,558,3534,1860,1674
40,,1.00,,0.00,0.04,,63,79,86,76,Berry Bonds,LA,16,186,600,0,14136,0,0,0,0,0,3534,0,3534
41,,0.92,,0.00,0.03,30,62,75,84,79,Berry Bonds,LA,16,186,630,0,14694,0,0,0,0,558,3673.5,558,3115.5
42,,0.85,,0.00,0.03,,61,78,83,78,Berry Bonds,LA,16,186,630,0,14508,0,0,0,0,0,3627,0,3627
43,,0.77,,0.00,0.04,30,60,74,81,78,Berry Bonds,LA,16,186,660,0,14508,0,0,0,0,558,3627,558,3069
44,,0.69,,0.00,0.05,,59,78,78,76,Berry Bonds,LA,16,186,660,0,14136,0,0,0,0,0,3534,0,3534
45,,0.62,,0.00,0.08,30,59,74,76,72,Berry Bonds,LA,16,186,690,0,13392,0,0,0,0,558,3348,558,2790
46,,0.54,,0.00,0.11,,59,77,73,81,Berry Bonds,LA,16,186,690,0,15066,0,0,0,0,0,3766.5,0,3766.5
47,,0.46,,0.00,0.15,30,58,74,70,73,Berry Bonds,LA,16,186,720,0,13578,0,0,0,0,558,3394.5,558,2836.5
48,,0.38,,0.00,0.21,,57,78,67,69,Berry Bonds,LA,16,186,720,0,12834,0,0,0,0,0,3208.5,0,3208.5
49,,0.31,,0.00,0.28,30,57,74,63,60,Berry Bonds,LA,16,186,750,0,11160,0,0,0,0,558,2790,558,2232
50,,0.23,,0.00,0.36,,58,79,59,60,Berry Bonds,LA,16,186,750,0,11160,0,0,0,0,0,2790,0,2790
51,,0.15,,0.00,0.47,30,59,76,55,48,Berry Bonds,LA,16,186,780,0,8928,0,0,0,0,558,2232,558,1674
52,,0.08,,0.00,0.59,,62,80,51,34,Berry Bonds,LA,16,186,780,0,6324,0,0,0,0,0,1581,0,1581
1,0.5,0.5,4,4.00,0.86,10,75,75,49,39,Friendly Farmstead,Sacramento,10,20,10,20,780,400,100,50,25,20,195,595,-400
2,,0.42,,3.85,0.87,10,86,78,50,40,Friendly Farmstead,Sacramento,10,50,20,30,2000,0,0,0,0,50,500,50,450
3,,0.35,,3.70,0.88,10,97,79,52,49,Friendly Farmstead,Sacramento,10,60,30,10,2940,0,0,0,0,60,735,60,675
4,,0.27,,3.55,0.87,10,100,80,53,52,Friendly Farmstead,Sacramento,10,70,40,10,3640,0,0,0,0,70,910,70,840
5,,0.19,,3.40,0.86,10,100,82,54,51,Friendly Farmstead,Sacramento,10,70,50,0,3570,0,0,0,0,70,892.5,70,822.5
6,,0.12,,3.25,0.83,10,100,83,55,56,Friendly Farmstead,Sacramento,10,80,60,10,4480,0,0,0,0,80,1120,80,1040
7,,0.04,,3.10,0.81,10,100,84,57,60,Friendly Farmstead,Sacramento,10,80,70,0,4800,0,0,0,0,80,1200,80,1120
8,,0.00,,2.95,0.78,10,100,85,58,71,Friendly Farmstead,Sacramento,10,80,80,0,5680,0,0,0,0,80,1420,80,1340
9,,0.00,,2.80,0.74,10,99,86,60,66,Friendly Farmstead,Sacramento,10,80,90,0,5280,0,0,0,0,80,1320,80,1240
10,,0.00,,2.65,0.70,10,98,86,61,73,Friendly Farmstead,Sacramento,10,109,100,29,7957,0,0,0,0,109,1989.25,109,1880.25
11,,0.00,,2.50,0.66,10,96,87,63,78,Friendly Farmstead,Sacramento,10,109,110,0,8502,0,0,0,0,109,2125.5,109,2016.5
12,,0.00,,2.35,0.62,10,93,88,65,79,Friendly Farmstead,Sacramento,10,109,120,0,8611,0,0,0,0,109,2152.75,109,2043.75
13,,0.00,,2.20,0.57,10,90,88,66,80,Friendly Farmstead,Sacramento,10,109,130,0,8720,0,0,0,0,109,2180,109,2071
14,0.5,0.50,,2.05,0.53,10,86,88,68,78,Friendly Farmstead,Sacramento,10,109,140,0,8502,0,0,272.5,136.25,109,2125.5,517.75,1607.75
15,,0.42,,1.90,0.48,15,90,88,70,81,Friendly Farmstead,Sacramento,10,109,155,0,8829,0,0,0,0,163.5,2207.25,163.5,2043.75
16,,0.35,,1.75,0.43,15,92,90,71,87,Friendly Farmstead,Sacramento,10,109,170,0,9483,0,0,0,0,163.5,2370.75,163.5,2207.25
17,,0.27,,1.60,0.38,15,94,91,73,86,Friendly Farmstead,Sacramento,10,109,185,0,9374,0,0,0,0,163.5,2343.5,163.5,2180
18,,0.19,,1.45,0.34,15,96,92,75,85,Friendly Farmstead,Sacramento,10,109,200,0,9265,0,0,0,0,163.5,2316.25,163.5,2152.75
19,,0.12,,1.30,0.29,15,97,93,76,81,Friendly Farmstead,Sacramento,10,109,215,0,8829,0,0,0,0,163.5,2207.25,163.5,2043.75
20,,0.04,,1.15,0.25,15,99,93,78,80,Friendly Farmstead,Sacramento,10,109,230,0,8720,0,0,0,0,163.5,2180,163.5,2016.5
21,,0.00,,1.00,0.21,15,100,94,79,82,Friendly Farmstead,Sacramento,10,109,245,0,8938,0,0,0,0,163.5,2234.5,163.5,2071
22,,0.00,,0.85,0.17,15,94,94,81,86,Friendly Farmstead,Sacramento,10,109,260,0,9374,0,0,0,0,163.5,2343.5,163.5,2180
23,,0.00,,0.70,0.13,20,87,94,82,80,Friendly Farmstead,Sacramento,10,111,280,2,8880,0,0,0,0,222,2220,222,1998
24,,0.00,,0.55,0.10,20,80,96,83,82,Friendly Farmstead,Sacramento,10,111,300,0,9102,0,0,0,0,222,2275.5,222,2053.5
25,,0.00,,0.40,0.07,20,73,97,85,72,Friendly Farmstead,Sacramento,10,111,320,0,7992,0,0,0,0,222,1998,222,1776
26,,0.00,,0.25,0.05,20,67,98,86,66,Friendly Farmstead,Sacramento,10,111,340,0,7326,0,0,0,0,222,1831.5,222,1609.5
27,0.5,0.50,,0.10,0.03,20,61,99,87,63,Friendly Farmstead,Sacramento,10,111,360,0,6993,0,0,277.5,138.75,222,1748.25,638.25,1110
28,,0.42,,0.00,0.01,20,61,100,88,61,Friendly Farmstead,Sacramento,10,111,380,0,6771,0,0,0,0,222,1692.75,222,1470.75
29,,0.35,,0.00,0.00,20,62,100,88,62,Friendly Farmstead,Sacramento,10,111,400,0,6882,0,0,0,0,222,1720.5,222,1498.5
30,,0.27,,0.00,-0.01,20,63,101,89,65,Friendly Farmstead,Sacramento,10,111,420,0,7215,0,0,0,0,222,1803.75,222,1581.75
31,,0.19,,0.00,-0.01,25,64,101,89,61,Friendly Farmstead,Sacramento,10,111,445,0,6771,0,0,0,0,277.5,1692.75,277.5,1415.25
32,,0.12,,0.00,-0.01,25,65,103,90,53,Friendly Farmstead,Sacramento,10,111,470,0,5883,0,0,0,0,277.5,1470.75,277.5,1193.25
33,,0.04,,0.00,-0.01,25,66,105,90,57,Friendly Farmstead,Sacramento,10,111,495,0,6327,0,0,0,0,277.5,1581.75,277.5,1304.25
34,,0.00,,0.00,0.00,25,68,107,90,50,Friendly Farmstead,Sacramento,10,146,520,35,7300,0,0,0,0,365,1825,365,1460
35,,0.00,,0.00,0.02,25,63,108,90,46,Friendly Farmstead,Sacramento,10,146,545,0,6716,0,0,0,0,365,1679,365,1314
36,,0.00,,0.00,0.04,20,58,110,89,43,Friendly Farmstead,Sacramento,10,146,565,0,6278,0,0,0,0,292,1569.5,292,1277.5
37,,0.00,,0.00,0.07,20,54,111,89,33,Friendly Farmstead,Sacramento,10,146,585,0,4818,0,0,0,0,292,1204.5,292,912.5
38,,0.00,,0.00,0.10,20,50,111,88,38,Friendly Farmstead,Sacramento,10,146,605,0,5548,0,0,0,0,292,1387,292,1095
39,0.5,0.50,,0.00,0.13,20,47,112,87,36,Friendly Farmstead,Sacramento,10,146,625,0,5256,0,0,365,182.5,292,1314,839.5,474.5
40,,0.42,,0.00,0.17,20,50,113,86,34,Friendly Farmstead,Sacramento,10,146,645,0,4964,0,0,0,0,292,1241,292,949
41,,0.35,,0.00,0.22,20,54,113,84,35,Friendly Farmstead,Sacramento,10,146,665,0,5110,0,0,0,0,292,1277.5,292,985.5
42,,0.27,,0.00,0.26,20,57,114,83,31,Friendly Farmstead,Sacramento,10,146,685,0,4526,0,0,0,0,292,1131.5,292,839.5
43,,0.19,,0.00,0.32,20,61,115,81,39,Friendly Farmstead,Sacramento,10,146,705,0,5694,0,0,0,0,292,1423.5,292,1131.5
44,,0.12,,0.00,0.37,15,64,116,78,46,Friendly Farmstead,Sacramento,10,146,720,0,6716,0,0,0,0,219,1679,219,1460
45,,0.04,,0.00,0.43,15,66,116,76,49,Friendly Farmstead,Sacramento,10,146,735,0,7154,0,0,0,0,219,1788.5,219,1569.5
46,,0.00,,0.00,0.50,15,69,116,73,39,Friendly Farmstead,Sacramento,10,146,750,0,5694,0,0,0,0,219,1423.5,219,1204.5
47,,0.00,,0.00,0.56,15,65,116,70,39,Friendly Farmstead,Sacramento,10,146,765,0,5694,0,0,0,0,219,1423.5,219,1204.5
48,,0.00,,0.00,0.63,10,61,116,67,33,Friendly Farmstead,Sacramento,10,146,775,0,4818,0,0,0,0,146,1204.5,146,1058.5
49,,0.00,,0.00,0.70,10,57,115,63,33,Friendly Farmstead,Sacramento,10,146,785,0,4818,0,0,0,0,146,1204.5,146,1058.5
50,,0.00,,0.00,0.78,10,54,114,59,21,Friendly Farmstead,Sacramento,10,146,795,0,3066,0,0,0,0,146,766.5,146,620.5
51,,0.00,,0.00,0.85,10,52,114,55,30,Friendly Farmstead,Sacramento,10,146,805,0,4380,0,0,0,0,146,1095,146,949
52,,0.00,,0.00,0.93,10,49,114,51,13,Friendly Farmstead,Sacramento,10,146,815,0,1898,0,0,0,0,146,474.5,146,328.5
1,,0,4,4.00,1.07,20,75,75,59,53,Nancy Nursery,SF,20,10,20,10,530,200,100,0,0,20,132.5,320,-187.5
2,,0.00,,3.92,1.09,,78,79,50,50,Nancy Nursery,SF,20,40,20,30,2000,0,0,0,0,0,500,0,500
3,,0.00,,3.85,1.09,,81,78,52,45,Nancy Nursery,SF,20,60,20,20,2700,0,0,0,0,0,675,0,675
4,,0.00,,3.77,1.09,,84,77,53,52,Nancy Nursery,SF,20,100,20,40,5200,0,0,0,0,0,1300,0,1300
5,,0.00,,3.69,1.07,20,86,76,54,53,Nancy Nursery,SF,20,120,40,20,6360,0,0,0,0,240,1590,240,1350
6,,0.00,,3.62,1.04,,88,79,55,65,Nancy Nursery,SF,20,140,40,20,9100,0,0,0,0,0,2275,0,2275
7,,0.00,,3.54,1.01,,89,78,57,59,Nancy Nursery,SF,20,160,40,20,9440,0,0,0,0,0,2360,0,2360
8,,0.00,,3.46,0.97,,90,77,58,63,Nancy Nursery,SF,20,160,40,0,10080,0,0,0,0,0,2520,0,2520
9,,0.00,,3.38,0.93,20,91,75,60,64,Nancy Nursery,SF,20,160,60,0,10240,0,0,0,0,320,2560,320,2240
10,,0.00,,3.31,0.88,,91,79,61,71,Nancy Nursery,SF,20,160,60,0,11360,0,0,0,0,0,2840,0,2840
11,,0.00,,3.23,0.83,,91,77,63,71,Nancy Nursery,SF,20,160,60,0,11360,0,0,0,0,0,2840,0,2840
12,,0.00,,3.15,0.77,,90,76,65,70,Nancy Nursery,SF,20,160,60,0,11200,0,0,0,0,0,2800,0,2800
13,,0.00,,3.08,0.71,20,89,74,66,79,Nancy Nursery,SF,20,160,80,0,12640,0,0,0,0,320,3160,320,2840
14,,0.00,,3.00,0.65,,88,77,68,75,Nancy Nursery,SF,20,160,80,0,12000,0,0,0,0,0,3000,0,3000
15,,0.00,,2.92,0.59,,86,75,70,85,Nancy Nursery,SF,20,160,80,0,13600,0,0,0,0,0,3400,0,3400
16,,0.00,,2.85,0.53,,83,73,71,85,Nancy Nursery,SF,20,160,80,0,13600,0,0,0,0,0,3400,0,3400
17,,0.00,,2.77,0.47,20,81,71,73,86,Nancy Nursery,SF,20,160,100,0,13760,0,0,0,0,320,3440,320,3120
18,,0.00,,2.69,0.41,,77,74,75,75,Nancy Nursery,SF,20,170,100,10,12750,0,0,0,0,0,3187.5,0,3187.5
